iter	RMSE
0	14.01557383
1	13.12495154
2	12.27257861
3	11.55724674
4	10.94115116
5	10.3805686
6	9.892019089
7	9.441908293
8	9.026793552
9	8.622587339
10	8.257257561
11	7.93673732
12	7.686498115
13	7.41868517
14	7.207300576
15	6.986313486
16	6.826813121
17	6.646960311
18	6.492139951
19	6.380556569
20	6.27631911
21	6.16255628
22	6.056533536
23	5.962622445
24	5.871862032
25	5.815644656
26	5.742320368
27	5.680602545
28	5.633370484
29	5.577308837
30	5.52817909
31	5.486542109
32	5.444557886
33	5.416687832
34	5.379167366
35	5.347011766
36	5.323841349
37	5.293822081
38	5.274309592
39	5.251079998
40	5.234010279
41	5.222292891
42	5.204803449
43	5.194468066
44	5.177298051
45	5.156443282
46	5.139195052
47	5.126652459
48	5.119270143
49	5.110249592
50	5.092207371
51	5.075734313
52	5.063706851
53	5.052380304
54	5.036926381
55	5.028682565
56	5.015111202
57	5.003707633
58	4.990991011
59	4.985742469
60	4.977046351
61	4.958637065
62	4.94592798
63	4.939718301
64	4.922897332
65	4.915596143
66	4.907517631
67	4.903497438
68	4.887347547
69	4.874756437
70	4.866817921
71	4.857568575
72	4.851826076
73	4.847716337
74	4.840829232
75	4.830572103
76	4.827234258
77	4.819147693
78	4.809766372
79	4.80241682
80	4.794151913
81	4.790448722
82	4.782445179
83	4.774374532
84	4.768065587
85	4.757013511
86	4.74200238
87	4.72905754
88	4.718604187
89	4.70595997
90	4.692410257
91	4.684286929
92	4.680646573
93	4.67703991
94	4.661422336
95	4.652074218
96	4.64778743
97	4.641306797
98	4.632806949
99	4.618272998
