iter	RMSE
0	14.61241342
1	14.2407906
2	13.87608572
3	13.53086122
4	13.17622399
5	12.857957
6	12.53211668
7	12.25430454
8	11.98199484
9	11.68404077
10	11.41606335
11	11.15600279
12	10.91498224
13	10.68075515
14	10.47498773
15	10.27807901
16	10.06972705
17	9.882476682
18	9.705130862
19	9.527553774
20	9.366493276
21	9.178406898
22	9.030381115
23	8.867306163
24	8.711107881
25	8.578483928
26	8.43834504
27	8.295038255
28	8.167180991
29	8.027542288
30	7.903069047
31	7.790865862
32	7.684716118
33	7.574838753
34	7.491931313
35	7.387080635
36	7.303700398
37	7.210435372
38	7.137988773
39	7.05922642
40	6.993654887
41	6.92411762
42	6.85875128
43	6.789223996
44	6.733384064
45	6.673658854
46	6.606901145
47	6.549037909
48	6.496487163
49	6.442644134
50	6.394449124
51	6.344389927
52	6.303967449
53	6.255945067
54	6.210883224
55	6.164441326
56	6.124996956
57	6.087567808
58	6.054268844
59	6.021075328
60	5.98381559
61	5.95425878
62	5.916894668
63	5.886618776
64	5.856458691
65	5.829152789
66	5.801820957
67	5.77950705
68	5.759902614
69	5.739193391
70	5.710109686
71	5.689549499
72	5.668343124
73	5.643689316
74	5.62460362
75	5.602074244
76	5.586815923
77	5.576324457
78	5.557629958
79	5.543843118
80	5.532303174
81	5.517780148
82	5.500282641
83	5.486193763
84	5.47148744
85	5.457149
86	5.444665219
87	5.431758721
88	5.419729658
89	5.408585702
90	5.399537998
91	5.387735285
92	5.376532282
93	5.371739167
94	5.361689472
95	5.349045392
96	5.335666479
97	5.329912298
98	5.32038053
99	5.314409507
100	5.303643945
101	5.297363959
102	5.284332276
103	5.277885923
104	5.267153693
105	5.256392422
106	5.25218727
107	5.245828476
108	5.237295445
109	5.234364121
110	5.226546049
111	5.219263296
112	5.211923929
113	5.205838393
114	5.195510234
115	5.187369223
116	5.183185925
117	5.177303413
118	5.166409773
119	5.161188511
120	5.152873565
121	5.148197787
122	5.144959668
123	5.140822339
124	5.139566721
125	5.133944381
126	5.127300783
127	5.116802245
128	5.108600295
129	5.102087734
130	5.096964661
131	5.094474107
132	5.091514057
133	5.087888999
134	5.084748976
135	5.080293502
136	5.073736012
137	5.068639923
138	5.064732199
139	5.062543475
140	5.058617293
141	5.05709865
142	5.054226969
143	5.052224673
144	5.04825563
145	5.043602968
146	5.041774609
147	5.040158567
148	5.032698513
149	5.030320048
150	5.027587197
151	5.025986017
152	5.021014872
153	5.015895045
154	5.012457859
155	5.00890502
156	5.005525985
157	4.998741484
158	4.996283294
159	4.99025875
160	4.987647064
161	4.985724197
162	4.983718857
163	4.982079643
164	4.980141552
165	4.977529253
166	4.975339409
167	4.973583468
168	4.970545449
169	4.968876166
170	4.961907226
171	4.956934657
172	4.95520253
173	4.94796395
174	4.946573597
175	4.943553128
176	4.939993386
177	4.938018503
178	4.93636878
179	4.934665614
180	4.932717427
181	4.930700771
182	4.928143631
183	4.926093838
184	4.924514961
185	4.922613827
186	4.920920287
187	4.918800218
188	4.916939173
189	4.914830258
190	4.908494738
191	4.906959861
192	4.90536321
193	4.903399938
194	4.901464395
195	4.89958263
196	4.897797488
197	4.895839876
198	4.8936569
199	4.891219855
200	4.889305643
201	4.887359206
202	4.885300227
203	4.883197496
204	4.881725302
205	4.880062822
206	4.878916811
207	4.877052929
208	4.875066144
209	4.873173581
210	4.870718862
211	4.86856468
212	4.866784095
213	4.864969862
214	4.863096992
215	4.861172862
216	4.859159561
217	4.857322848
218	4.855460657
219	4.853485856
220	4.851714476
221	4.84980964
222	4.847772493
223	4.845910038
224	4.843951963
225	4.841981223
226	4.840105079
227	4.838105326
228	4.836226077
229	4.834326533
230	4.832370227
231	4.830469337
232	4.828651738
233	4.826809778
234	4.824951453
235	4.823081955
236	4.821258983
237	4.819437996
238	4.81760594
239	4.815734435
240	4.813936994
241	4.812165203
242	4.810384214
243	4.808599445
244	4.806850771
245	4.805109123
246	4.803360846
247	4.801605369
248	4.79985718
249	4.798124458
250	4.796434049
251	4.79473843
252	4.790141831
253	4.788456901
254	4.786775984
255	4.785082929
256	4.783421077
257	4.781742667
258	4.780108355
259	4.778457396
260	4.776814083
261	4.775199626
262	4.773557777
263	4.771945697
264	4.770329002
265	4.768704489
266	4.76708855
267	4.765486754
268	4.763875272
269	4.762296914
270	4.760726404
271	4.759152061
272	4.757601776
273	4.756042171
274	4.754488513
275	4.752942484
276	4.750136983
277	4.748578244
278	4.747033917
279	4.745511441
280	4.743973604
281	4.742430374
282	4.740907166
283	4.73939003
284	4.737881012
285	4.736370999
286	4.734866538
287	4.733359999
288	4.731862134
289	4.730368624
290	4.728871029
291	4.727381763
292	4.725886313
293	4.723056215
294	4.721583255
295	4.72011531
296	4.718646155
297	4.717179393
298	4.715712187
299	4.714244655
300	4.712788566
301	4.711334057
302	4.709890425
303	4.708449599
304	4.70701254
305	4.705546573
306	4.704099415
307	4.702661828
308	4.701233047
309	4.699804516
310	4.698378125
311	4.696954628
312	4.695539693
313	4.691772206
314	4.690358333
315	4.688943663
316	4.687531764
317	4.686126062
318	4.684719204
319	4.683320796
320	4.681929052
321	4.680538014
322	4.679148299
323	4.677761756
324	4.676381419
325	4.674999909
326	4.673617137
327	4.672236577
328	4.670864468
329	4.669492422
330	4.668124791
331	4.664660678
332	4.663295065
333	4.661930495
334	4.660572661
335	4.659218506
336	4.657864415
337	4.65651638
338	4.655166861
339	4.653820938
340	4.652477264
341	4.649530745
342	4.648187113
343	4.646846192
344	4.645511508
345	4.644179497
346	4.642847762
347	4.641520326
348	4.638292588
349	4.636967398
350	4.635644823
351	4.631779433
352	4.630451129
353	4.629131527
354	4.627810645
355	4.626498548
356	4.625185466
357	4.623880676
358	4.622575245
359	4.621272128
360	4.619968063
361	4.618669873
362	4.617373378
363	4.616074405
364	4.614767733
365	4.613480869
366	4.612191255
367	4.610908113
368	4.609626426
369	4.608346737
370	4.607068024
371	4.605786105
372	4.604507482
373	4.603230497
374	4.601954895
375	4.600683517
376	4.599419864
377	4.598153722
378	4.593546815
379	4.592278424
380	4.591013804
381	4.589750847
382	4.588490199
383	4.587236718
384	4.585982159
385	4.584734354
386	4.583488094
387	4.582239942
388	4.580996679
389	4.579749677
390	4.577093683
391	4.575850098
392	4.574606258
393	4.573366029
394	4.572127639
395	4.570890926
396	4.569661467
397	4.568433835
398	4.56720388
399	4.565979437
400	4.564753867
401	4.563532483
402	4.562298625
403	4.561075072
404	4.559855823
405	4.558636355
406	4.557421162
407	4.556206919
408	4.55499627
409	4.553787761
410	4.552583744
411	4.551375169
412	4.550173441
413	4.548970346
414	4.547768044
415	4.546571049
416	4.545370059
417	4.544159625
418	4.542965222
419	4.541772216
420	4.540584711
421	4.539395241
422	4.534644019
423	4.533450772
424	4.5322636
425	4.531080399
426	4.529902728
427	4.528722735
428	4.527548887
429	4.526359872
430	4.525184582
431	4.524010733
432	4.522842257
433	4.521671411
434	4.520505522
435	4.519337874
436	4.518175416
437	4.513642177
438	4.512478888
439	4.511315289
440	4.510142693
441	4.508986879
442	4.504147805
443	4.502992353
444	4.501840207
445	4.500690341
446	4.499542432
447	4.498396419
448	4.497251646
449	4.496103929
450	4.494960072
451	4.49382052
452	4.492679216
453	4.491537715
454	4.486882984
455	4.485746884
456	4.484613956
457	4.48347894
458	4.481372452
459	4.475311628
460	4.474171991
461	4.473039282
462	4.471912989
463	4.470772786
464	4.469645446
465	4.468520485
466	4.467396589
467	4.466279462
468	4.465164324
469	4.464047696
470	4.46293073
471	4.461819902
472	4.460711194
473	4.45960368
474	4.458497052
475	4.457391343
476	4.456283084
477	4.455180067
478	4.454064184
479	4.452963814
480	4.451865234
481	4.450764576
482	4.44965542
483	4.448557781
484	4.447465616
485	4.44636015
486	4.445270742
487	4.444182165
488	4.443111716
489	4.442020899
490	4.440935195
491	4.439832015
492	4.438745889
493	4.437664589
494	4.436585386
495	4.435502084
496	4.434422187
497	4.433340323
498	4.432265029
499	4.426215004
500	4.4223549
501	4.421276814
502	4.42020164
503	4.419124519
504	4.418040972
505	4.416971372
506	4.415905357
507	4.414838343
508	4.413763984
509	4.412691384
510	4.411623792
511	4.410554338
512	4.409476985
513	4.408417648
514	4.407359624
515	4.406304382
516	4.405251497
517	4.404182593
518	4.403133396
519	4.402067766
520	4.401015801
521	4.399970142
522	4.39892309
523	4.397877032
524	4.396832468
525	4.395789647
526	4.394747306
527	4.393701597
528	4.392661989
529	4.391618286
530	4.390612676
531	4.383122067
532	4.382063554
533	4.381022728
534	4.379977573
535	4.378944784
536	4.377912101
537	4.376881828
538	4.375837855
539	4.374801718
540	4.373775404
541	4.372743112
542	4.371715217
543	4.370694641
544	4.369669021
545	4.368644237
546	4.367624735
547	4.366607531
548	4.365590559
549	4.364567489
550	4.363547076
551	4.362532711
552	4.361514455
553	4.360504641
554	4.357885056
555	4.35687402
556	4.355856616
557	4.354842777
558	4.353830539
559	4.352823785
560	4.351819644
561	4.350815533
562	4.349807976
563	4.348801616
564	4.347801416
565	4.346801942
566	4.345802287
567	4.344787423
568	4.343776232
569	4.342781763
570	4.341788016
571	4.34079519
572	4.339803452
573	4.338813025
574	4.337819346
575	4.336827509
576	4.33583668
577	4.334846319
578	4.333860455
579	4.33102629
580	4.330036511
581	4.329048262
582	4.32806391
583	4.327078235
584	4.326093623
585	4.325110374
586	4.324131665
587	4.323154026
588	4.318917584
589	4.317934304
590	4.316952345
591	4.315974604
592	4.314998452
593	4.314013899
594	4.313041326
595	4.312069494
596	4.311098753
597	4.310126964
598	4.309158397
599	4.308188708
600	4.307217587
601	4.306247731
602	4.305283256
603	4.301147912
604	4.300178219
605	4.299211574
606	4.298244716
607	4.297269251
608	4.296304968
609	4.295344265
610	4.294384506
611	4.289573923
612	4.288610217
613	4.287652268
614	4.286696391
615	4.285741488
616	4.284785064
617	4.283830268
618	4.280833942
619	4.279879352
620	4.278927697
621	4.277977441
622	4.277028573
623	4.27608071
624	4.272419323
625	4.271469515
626	4.270523715
627	4.266776455
628	4.265827239
629	4.264882899
630	4.263939502
631	4.262979862
632	4.262038573
633	4.261097615
634	4.260157174
635	4.259216679
636	4.258277723
637	4.257341628
638	4.256405274
639	4.252628696
640	4.251691997
641	4.250757938
642	4.249825389
643	4.248894031
644	4.24795819
645	4.247023635
646	4.246090768
647	4.245155288
648	4.244229217
649	4.243298384
650	4.238952583
651	4.238025731
652	4.2353127
653	4.234387102
654	4.233455827
655	4.232532912
656	4.23161127
657	4.230691224
658	4.229772602
659	4.228847517
660	4.227929771
661	4.227006421
662	4.226090374
663	4.225175295
664	4.224260918
665	4.22334779
666	4.222429631
667	4.21762417
668	4.21671097
669	4.215800806
670	4.214884377
671	4.213960747
672	4.211562176
673	4.210645782
674	4.2097387
675	4.208825713
676	4.207920899
677	4.207017861
678	4.206107832
679	4.205205467
680	4.204304501
681	4.203384708
682	4.202485079
683	4.201580028
684	4.20068209
685	4.199779429
686	4.194183997
687	4.193282362
688	4.192385429
689	4.191490609
690	4.190596985
691	4.189698295
692	4.188800816
693	4.187911248
694	4.18702247
695	4.186128787
696	4.185241864
697	4.184349413
698	4.183458293
699	4.182568094
700	4.181678873
701	4.180790967
702	4.179908645
703	4.179027588
704	4.178142251
705	4.177262696
706	4.176376881
707	4.175492999
708	4.174609614
709	4.169090478
710	4.168211196
711	4.167327666
712	4.166451367
713	4.165575846
714	4.164683435
715	4.163810893
716	4.162934345
717	4.162058703
718	4.161171193
719	4.160296693
720	4.159411994
721	4.158544498
722	4.157672858
723	4.153112224
724	4.152239189
725	4.151370625
726	4.150498689
727	4.149628413
728	4.148747944
729	4.14785275
730	4.146976484
731	4.146111771
732	4.142602709
733	4.141736999
734	4.140877442
735	4.140018891
736	4.139161446
737	4.138303329
738	4.137446619
739	4.136591522
740	4.13131057
741	4.130451413
742	4.129596615
743	4.128743178
744	4.127875221
745	4.12701974
746	4.126169674
747	4.125312104
748	4.124459095
749	4.123606924
750	4.122759945
751	4.118797509
752	4.117949984
753	4.117099131
754	4.116254027
755	4.115405603
756	4.114548023
757	4.11370493
758	4.112859064
759	4.112013983
760	4.111170093
761	4.110328628
762	4.109486432
763	4.108645508
764	4.107804864
765	4.10611928
766	4.10527062
767	4.104430766
768	4.103583402
769	4.102745154
770	4.101907631
771	4.101063076
772	4.100229505
773	4.099386557
774	4.098552311
775	4.097698813
776	4.096867293
777	4.096028374
778	4.095197727
779	4.094369157
780	4.093540369
781	4.092712051
782	4.091884604
783	4.091040152
784	4.090214287
785	4.089382992
786	4.08855831
787	4.087728765
788	4.086905543
789	4.086066904
790	4.085244558
791	4.084418128
792	4.083583026
793	4.082762848
794	4.081944693
795	4.081127101
796	4.079875226
797	4.079058049
798	4.078240139
799	4.077423903
800	4.076608096
801	4.0757734
802	4.074958465
803	4.074137302
804	4.073322949
805	4.072509681
806	4.071693062
807	4.067535011
808	4.066713545
809	4.065895079
810	4.065083742
811	4.064272975
812	4.063457433
813	4.062648131
814	4.061839999
815	4.061032601
816	4.060221126
817	4.059415562
818	4.058610067
819	4.057838666
820	4.057028593
821	4.056224834
822	4.055416641
823	4.054607372
824	4.053805387
825	4.052997528
826	4.052191951
827	4.051385192
828	4.050579156
829	4.049764764
830	4.048966516
831	4.048169375
832	4.047354516
833	4.04655779
834	4.04576165
835	4.044960616
836	4.044165877
837	4.043366431
838	4.040894931
839	4.040100214
840	4.039306721
841	4.038498731
842	4.037701693
843	4.036905552
844	4.036114451
845	4.035319765
846	4.0345297
847	4.033787341
848	4.03299661
849	4.032204048
850	4.031412701
851	4.030622001
852	4.029833247
853	4.029034988
854	4.028249441
855	4.027464445
856	4.02666905
857	4.025883212
858	4.025097969
859	4.024312572
860	4.023531016
861	4.022747501
862	4.021964411
863	4.021184381
864	4.02038154
865	4.019592859
866	4.018810779
867	4.018030525
868	4.017251377
869	4.01647423
870	4.015697463
871	4.014913
872	4.014136079
873	4.013353625
874	4.012566216
875	4.011792936
876	4.011007695
877	4.010234153
878	4.00945418
879	4.008663985
880	4.007891963
881	4.007121498
882	4.006347326
883	4.005577793
884	4.004807514
885	4.004038474
886	4.003270104
887	4.002498486
888	4.001727864
889	4.000953648
890	4.00018768
891	3.999422431
892	3.99865022
893	3.997884901
894	3.997120882
895	3.99635303
896	3.995576883
897	3.994813822
898	3.994052247
899	3.993291302
900	3.992527195
901	3.991763773
902	3.990992736
903	3.986851054
904	3.986084968
905	3.985315843
906	3.98455638
907	3.983795956
908	3.98302508
909	3.982266884
910	3.981524051
911	3.980764853
912	3.980006446
913	3.979250463
914	3.978493336
915	3.977754925
916	3.976999228
917	3.976244477
918	3.970056098
919	3.9692961
920	3.968540628
921	3.967786977
922	3.967030432
923	3.96627898
924	3.965528153
925	3.96477678
926	3.964000766
927	3.963251791
928	3.962523547
929	3.961773817
930	3.961026051
931	3.95684398
932	3.956089871
933	3.955329953
934	3.954579934
935	3.953834251
936	3.953065726
937	3.952320837
938	3.951576793
939	3.950830882
940	3.950087964
941	3.949343177
942	3.948601074
943	3.947850323
944	3.947107912
945	3.946364605
946	3.945616032
947	3.943313147
948	3.942561327
949	3.941818832
950	3.941077047
951	3.940338698
952	3.939599201
953	3.938862702
954	3.938124358
955	3.937388177
956	3.936650886
957	3.935892253
958	3.935157913
959	3.93441387
960	3.933678409
961	3.932945735
962	3.932210888
963	3.931477091
964	3.930743935
965	3.930011548
966	3.929279647
967	3.928541625
968	3.927812507
969	3.92708363
970	3.92635498
971	3.9256156
972	3.924884858
973	3.924155432
974	3.923418468
975	3.922683407
976	3.921948221
977	3.921220955
978	3.920487391
979	3.919754545
980	3.919022683
981	3.918297758
982	3.917567321
983	3.916843953
984	3.91611827
985	3.915393466
986	3.914671701
987	3.910507447
988	3.909783105
989	3.909054076
990	3.908331826
991	3.90761087
992	3.906887905
993	3.904946005
994	3.904225041
995	3.903493867
996	3.902775755
997	3.902057568
998	3.9013415
999	3.900624628
