iter	Passed	Remaining
0	158	158073
1	162	80898
2	166	55482
3	170	42572
4	174	34779
5	178	29605
6	183	26008
7	187	23262
8	191	21075
9	195	19334
10	200	18012
11	204	16815
12	208	15804
13	212	14935
14	217	14255
15	220	13590
16	224	12997
17	228	12482
18	234	12113
19	239	11713
20	243	11331
21	248	11039
22	252	10725
23	256	10437
24	260	10170
25	265	9951
26	269	9712
27	273	9492
28	277	9285
29	281	9117
30	285	8931
31	289	8764
32	294	8616
33	298	8481
34	301	8308
35	305	8170
36	309	8049
37	313	7948
38	317	7831
39	321	7717
40	325	7620
41	331	7555
42	335	7457
43	339	7370
44	343	7286
45	347	7204
46	351	7120
47	355	7046
48	359	6973
49	363	6905
50	367	6836
51	371	6768
52	375	6710
53	379	6648
54	383	6589
55	387	6536
56	393	6503
57	397	6454
58	402	6414
59	407	6381
60	412	6348
61	416	6300
62	420	6251
63	425	6219
64	429	6181
65	434	6149
66	439	6121
67	445	6103
68	449	6058
69	453	6031
70	459	6016
71	466	6016
72	471	5986
73	478	5984
74	483	5961
75	487	5931
76	494	5932
77	497	5878
78	501	5848
79	506	5826
80	509	5780
81	513	5746
82	517	5712
83	521	5684
84	526	5665
85	530	5634
86	533	5602
87	539	5586
88	544	5576
89	549	5559
90	556	5563
91	561	5538
92	565	5511
93	569	5487
94	573	5466
95	577	5440
96	581	5415
97	585	5391
98	591	5379
99	595	5355
100	598	5330
101	601	5299
102	606	5281
103	610	5257
104	614	5234
105	618	5214
106	622	5199
107	626	5176
108	630	5155
109	632	5121
110	638	5110
111	641	5089
112	645	5069
113	650	5051
114	654	5037
115	658	5017
116	662	4999
117	666	4983
118	671	4969
119	675	4951
120	679	4935
121	683	4917
122	687	4905
123	692	4888
124	694	4862
125	699	4854
126	706	4855
127	711	4846
128	715	4831
129	720	4819
130	724	4804
131	728	4788
132	731	4770
133	736	4758
134	740	4744
135	745	4733
136	749	4722
137	753	4707
138	757	4692
139	761	4677
140	765	4665
141	770	4653
142	773	4638
143	777	4624
144	782	4613
145	786	4600
146	789	4579
147	792	4564
148	796	4550
149	801	4543
150	805	4530
151	809	4517
152	813	4504
153	818	4494
154	822	4481
155	826	4470
156	830	4457
157	835	4450
158	839	4438
159	843	4425
160	847	4416
161	852	4411
162	858	4406
163	863	4401
164	867	4391
165	871	4379
166	875	4369
167	880	4360
168	884	4349
169	888	4337
170	892	4325
171	897	4319
172	901	4309
173	905	4297
174	908	4285
